ANNEE,Regions_de_chargement,Regions_de_dechargement,Marchandises,Tkm(en millions),T(en milliers)
2021,Ile-de-France,Normandie,Matières premières secondaires/Déchets,33,333
2021,Ile-de-France,Normandie,Courrier/Colis,18,88
2021,Ile-de-France,Normandie,Matériel transports marchandises,13,85
2021,Ile-de-France,Normandie,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Normandie,Marchandises groupées,198,1151
2021,Ile-de-France,Normandie,Marchandises non identifiables,10,57
2021,Ile-de-France,Hauts-de-France,Agriculture/Chasse/Forêt/Pêche,130,911
2021,Ile-de-France,Hauts-de-France,Minerais/produits extraction,147,2117
2021,Ile-de-France,Hauts-de-France,Alimentaires/Boissons/Tabac,138,886
2021,Ile-de-France,Hauts-de-France,Textiles/Cuir,8,47
2021,Ile-de-France,Hauts-de-France,Bois/Papier/Edition,27,168
2021,Ile-de-France,Hauts-de-France,Coke/produits pétroliers raffinés,78,863
2021,Ile-de-France,Hauts-de-France,Chimie/Caoutchouc/Plastique,32,235
2021,Ile-de-France,Hauts-de-France,Minéraux non métalliques nca,100,965
2021,Ile-de-France,Hauts-de-France,Métaux/produits métalliques,33,232
2021,Ile-de-France,Hauts-de-France,Machines/Matériel nca,51,370
2021,Ile-de-France,Hauts-de-France,Matériel de transport,49,321
2021,Ile-de-France,Hauts-de-France,Meubles/Produits manufacturés nca,17,95
2021,Ile-de-France,Hauts-de-France,Matières premières secondaires/Déchets,63,429
2021,Ile-de-France,Hauts-de-France,Courrier/Colis,173,912
2021,Ile-de-France,Hauts-de-France,Matériel transports marchandises,23,188
2021,Ile-de-France,Hauts-de-France,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Hauts-de-France,Marchandises groupées,328,2249
2021,Ile-de-France,Hauts-de-France,Marchandises non identifiables,0,0
2021,Ile-de-France,Grand Est,Agriculture/Chasse/Forêt/Pêche,110,801
2021,Ile-de-France,Grand Est,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Ile-de-France,Grand Est,Minerais/produits extraction,119,883
2021,Ile-de-France,Grand Est,Alimentaires/Boissons/Tabac,76,317
2021,Ile-de-France,Grand Est,Textiles/Cuir,0,0
2021,Ile-de-France,Grand Est,Bois/Papier/Edition,10,51
2021,Ile-de-France,Grand Est,Coke/produits pétroliers raffinés,18,130
2021,Ile-de-France,Grand Est,Chimie/Caoutchouc/Plastique,22,90
2021,Ile-de-France,Grand Est,Minéraux non métalliques nca,57,275
2021,Ile-de-France,Grand Est,Métaux/produits métalliques,16,49
2021,Ile-de-France,Grand Est,Machines/Matériel nca,26,121
2021,Ile-de-France,Grand Est,Matériel de transport,45,182
2021,Ile-de-France,Grand Est,Meubles/Produits manufacturés nca,6,25
2021,Ile-de-France,Grand Est,Matières premières secondaires/Déchets,28,130
2021,Ile-de-France,Grand Est,Courrier/Colis,85,479
2021,Ile-de-France,Grand Est,Matériel transports marchandises,11,45
2021,Ile-de-France,Grand Est,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Grand Est,Marchandises groupées,175,689
2021,Ile-de-France,Grand Est,Marchandises non identifiables,0,0
2021,Ile-de-France,Grand Est,Marchandises nca (non classés ailleurs),0,0
2021,Ile-de-France,Pays de la Loire,Agriculture/Chasse/Forêt/Pêche,96,326
2021,Ile-de-France,Pays de la Loire,Minerais/produits extraction,0,0
2021,Ile-de-France,Pays de la Loire,Alimentaires/Boissons/Tabac,59,220
2021,Ile-de-France,Pays de la Loire,Textiles/Cuir,0,0
2021,Ile-de-France,Pays de la Loire,Bois/Papier/Edition,11,41
